OBJECTID,Wetland__1,SEQNUM,CFCA_EMT_I,Physiograp,Wetland_Ty,Hydrologic,Edge_Ref_1,Urban_Dens,ACRES_COMB,XCOORD_UTM,YCOORD_UTM,Column_,ORIG_FID
43,1,99451.000000000000000,SJ-QA,Ridge,1F,Yes,89.489999999999995,Moderate,15.654224764370388,418082.2812500,3169167.5000000,291.0000000,43
44,1,98711.000000000000000,SJ-QA,Ridge,1F,Yes,89.489999999999995,Moderate,10.640114572927352,418176.9375000,3169491.7500000,291.0000000,44
45,1,101672.000000000000000,SJ-QA,Ridge,1F,Yes,89.489999999999995,Moderate,5.204745421747753,418510.6250000,3168140.2500000,292.0000000,45
46,1,100932.000000000000000,SJ-QA,Ridge,1F,Yes,89.489999999999995,Moderate,18.687524770140495,418505.6562500,3168446.7500000,292.0000000,46
47,1,100192.000000000000000,SJ-QA,Ridge,1F,Yes,89.489999999999995,Moderate,22.508486531163836,418564.5312500,3168739.0000000,292.0000000,47
48,1,98712.000000000000000,SJ-QA,Ridge,1F,Yes,89.489999999999995,Moderate,0.416009599158002,418698.3750000,3169710.7500000,292.0000000,48
49,1,100933.000000000000000,SJ-QA,Ridge,1F,Yes,89.489999999999995,Moderate,1.375017858991151,418776.2187500,3168568.0000000,293.0000000,49
50,1,100193.000000000000000,SJ-QA,Ridge,1F,Yes,89.489999999999995,Moderate,3.598596717698568,418794.4062500,3168674.0000000,293.0000000,50
51,1,98713.000000000000000,SJ-QA,Ridge,1F,Yes,89.489999999999995,Moderate,0.443178555553221,418763.1562500,3169677.5000000,293.0000000,51
52,1,216384.000000000000000,SW-QK,Ridge,1F,No,133.310000000000000,Low,2.612425560905503,423232.0625000,3109139.0000000,304.0000000,52
53,1,215644.000000000000000,SW-QK,Ridge,1F,No,133.310000000000000,Low,9.815290389335791,423202.5625000,3109300.2500000,304.0000000,53
54,1,214164.000000000000000,SW-QK,Ridge,1F,No,133.310000000000000,Low,10.683069133630100,423226.1875000,3110186.0000000,304.0000000,54
55,1,213424.000000000000000,SW-QK,Ridge,1F,No,133.310000000000000,Low,3.218804477784486,423230.7187500,3110371.0000000,304.0000000,55
56,1,217125.000000000000000,SW-QK,Ridge,1F,No,133.310000000000000,Low,0.069208833350847,423672.7500000,3108785.5000000,305.0000000,56
57,1,216385.000000000000000,SW-QK,Ridge,1F,No,133.310000000000000,Low,25.060920591816135,423521.9062500,3108982.7500000,305.0000000,57
58,1,215645.000000000000000,SW-QK,Ridge,1F,No,133.310000000000000,Low,3.373544498479000,423382.8750000,3109215.2500000,305.0000000,58
59,1,214905.000000000000000,SW-QK,Ridge,1F,No,133.310000000000000,Low,0.804095908735947,423621.5937500,3109917.5000000,305.0000000,59
60,1,214165.000000000000000,SW-QK,Ridge,1F,No,133.310000000000000,Low,26.301708019453908,423506.8125000,3110097.5000000,305.0000000,60
61,1,219346.000000000000000,SW-QK,Ridge,1F,No,133.310000000000000,Low,4.746063693823353,424026.0937500,3107550.5000000,306.0000000,61
62,1,218606.000000000000000,SW-QK,Ridge,1F,No,133.310000000000000,Low,0.622431881200833,424052.2500000,3107671.0000000,306.0000000,62
63,1,217126.000000000000000,SW-QK,Ridge,1F,No,133.310000000000000,Low,2.869828825554409,423894.4375000,3108725.0000000,306.0000000,63
64,1,216386.000000000000000,SW-QK,Ridge,1F,No,133.310000000000000,Low,13.950612831703229,423828.5000000,3108953.0000000,306.0000000,64
65,1,215646.000000000000000,SW-QK,Ridge,1F,No,133.310000000000000,Low,0.039143656529429,424048.6250000,3109171.7500000,306.0000000,65
66,1,214906.000000000000000,SW-QK,Ridge,1F,No,133.310000000000000,Low,0.001578724084931,423693.8750000,3109929.2500000,306.0000000,66
67,1,214166.000000000000000,SW-QK,Ridge,1F,No,133.310000000000000,Low,4.027561540255113,423743.7500000,3110050.7500000,306.0000000,67
68,1,109826.000000000000000,SJ-LF,Ridge,1F,No,86.760000000000005,Moderate,1.917429682320329,423957.1875000,3163948.7500000,306.0000000,68
69,1,109086.000000000000000,SJ-LF,Ridge,1F,No,86.760000000000005,Moderate,8.576877004295636,423969.1875000,3164204.5000000,306.0000000,69
70,1,219347.000000000000000,SW-QK,Ridge,1F,No,133.310000000000000,Low,21.581768719426176,424242.0625000,3107525.5000000,307.0000000,70
71,1,218607.000000000000000,SW-QK,Ridge,1F,No,133.310000000000000,Low,33.029585070355417,424278.5937500,3107827.2500000,307.0000000,71
72,1,217867.000000000000000,SW-QK,Ridge,1F,No,133.310000000000000,Low,15.893523793835246,424365.0312500,3108194.2500000,307.0000000,72
73,1,217127.000000000000000,SW-QK,Ridge,1F,No,133.310000000000000,Low,10.411216019213958,424388.4687500,3108564.2500000,307.0000000,73
74,1,216387.000000000000000,SW-QK,Ridge,1F,No,133.310000000000000,Low,2.552596298733452,424194.8750000,3108998.7500000,307.0000000,74
75,1,215647.000000000000000,SW-QK,Ridge,1F,No,133.310000000000000,Low,0.000005060127630,424074.4062500,3109169.5000000,307.0000000,75
